@to tickle@|@griwle@
@to tremble@|@ridere@
@to trot@|@dibble@
@to turn@|@wër@
@to understand@|@verstehn@
@to use@|@benutze@
@to visit@|@b'süeche@
@to wait@|@wàrte@
@to walk@|@laufe@
@to wander@|@erûmdâbbe@
@to want@|@welle@
@to wash@|@wäsche@
@to watch@|@gücke, löje, lüje@
@to win@|@gewehne, gewinne@
@to wipe@|@ãbtrickle@
@to work@|@schàffe@
@to write@|@schriwe@
@to yawn@|@schnàbbe@
@today@|@hit, hitt@
@together@|@binànd, binànder, bisàmme@
@tomato@|@Tomãtt@
@tomorrow@|@morje@
@tooth@|@Zãhn@
@torment@|@bleuï@
@toy@|@Spielding@
@tramp@|@blâdmâcher@
@tree@|@Baum@
@trumpet@|@Trumpet@
@t-shirt@|@finedel@
@tuesday@|@dienschdàà@
@tulip@|@Tülipã@
@twelve@|@zwélf@
@twenty@|@zwanzig@
@twenty one@|@einezwanzig@
@twenty three@|@dreiezwanzig@
@twenty two@|@zweiezwanzig@
@twin@|@Fernglãs@
@two@|@swei, zwei@
@two hundred@|@zweihundert@
@two thousand@|@zweidoisig@
@two times@|@zwei mohl@
@ugly@|@wéschd@
@umbrella@|@Bãrãbli@
@uncertain@|@netkir@
@uncle@|@unkel@
@understand yourselves@|@verstehn'r's@
@uniform@|@üniform@
@urchin@|@spitzbüe@
@urn@|@ürn@
@vacation@|@ferie@
@vacuum cleaner@|@Staubsüger@
@verbal process@|@brodegol@
@vocabulary@|@Wortschatz@
@vulture@|@Geier@
@wagon@|@Isebãhnwawe@
@wakening-morning@|@Wecker@
@watch@|@Ühr@
@water@|@Wàsser@
@watering-can@|@schbrènzkan, Spranz@
@wave@|@Wëll@
@we are@|@mir sinn@
@we had@|@mir hãn...g'hett@
@we have@|@mir hãn@
@we turn@|@mir wëre@
@we turned@|@mir sinn...worre@
@we were@|@mir sinn...g'sinn@
@weasel@|@Wissele@
@weather vane@|@Wëtterfahnel@
@wednesday@|@mittwùch@
@weekend@|@ends woch@
@well thank you@|@güet mersi@
@whale@|@Wãlfisch@
@what@|@wàs@
@what bus goes to@|@weller otobüs geht uf@
@when@|@wenn@
@when begins…@|@wenn fàngt … àhn@
@when firm…@|@wenn geht … züe@
@when opens…@|@wenn geht … ùff@
@when same@|@doch@
@where@|@wie, wo@
@where are@|@wo sin@
@where is@|@wo esch@
@which@|@weller, welli@
@whim@|@firlefâns@
@whistle@|@Pfif@
@white cheese@|@bibeleskäs@
@who@|@wër@
@who is that@|@wer esch's@
@whooping cough@|@bleuïehuschde@
@why@|@worùm@
@winter@|@winter@
@wipe hands@|@zwäl@
@woman@|@d' Frau, Frài@
@work@|@àrweit@
@workday@|@arweitzdàà@
@xylophon@|@Xylofon@
@yak@|@Berriochs@
@year@|@johr@
@yesterday@|@gescht@
@yet@|@doch@
@yogurt@|@Yaurt@
@you are@|@dü bisch@
@you are (pl)@|@ihr sinn@
@you had@|@dü hesch...g'hett@
@you had (pl)@|@ihr hãn...g'hett@
@you have@|@dü hesch@
@you have (pl)@|@ihr hãn@
@you turn@|@dü wursch@
@you turn (pl)@|@ihr wëre@
@you turned@|@dü bisch...worre@
@you turned (pl)@|@ihr sinn...worre@
@you were@|@dü bisch...g'sinn@
@you were (pl)@|@ihr sinn...g'sinn@
@young@|@jùng@
@youngster@|@knäckes@
@your@|@diner@
@zebra@|@Zebrã@
@zebu@|@Buckelochs@

