@English@|@Dutch@
@arena@|@arena, kampplaats, krijt, piste@
@Areopagus@|@Areopagus@
@Ares@|@Ares@
@Argentina@|@Argentinië@
@Argentine@|@Argentijns@
@Argentinean@|@Argentijns@
@argue@|@disputeren, krakelen, twisten@
@Argus@|@Argus@
@Ariadne@|@Ariadne@
@arise@|@ontstaan@
@aristocrat@|@aristocraat@
@Aristotle@|@Aristoteles@
@arithmetic@|@cijferen, cijferkunst, rekenkunde@
@Arizona@|@Arizona@
@arm@|@bewapenen, wapenen@
@armchair@|@armstoel, zorgenstoel@
@arm-chair@|@armstoel, zorgenstoel@
@Armenia@|@Armenië@
@Armenian@|@Armeens@
@armor@|@bepantsering, harnas, kuras, pantser@
@Armorica@|@Armorica@
