@English@|@Kott@
@to leave@|@-aq, aq, d-á-v-aq@
@to lie@|@datang@
@to lie down@|@uchäkng, utchäkng@
@to make@|@si-cei@
@to make noise@|@kuterei@
@to make sour@|@aragejang, aregen, barage-jang, dagejang@
@to milk@|@hipit, thapit@
@to nomadize@|@aitho-l-ökng, aithog-äkng@
@to open@|@ušföttang, ušpöttang@
@to paint red@|@šurumaichei@
@to play@|@-an, ajang@
@to plug@|@hachïp, halchïp@
@to press@|@hapit@
@to pull@|@bapujang, buipujang, bujäpui@
@to read@|@kacheithákng@
@to release@|@ašetang@
@to roast@|@chalaugan, chalauganang@
@to rot@|@b-age-jang@
@to row@|@alagïchang, alchiš, dagichang, dägichang@
@to run@|@chäganthagäkng, ïchökng, ïchöx@
@to scoop@|@ul-tëj@
@to scrape@|@alšer, balašer, balašërang, bašërang@
@to scratch@|@eang-alaše, eang-alše, eang-alši, eang-olaši, eang-ölašiang, eang-öšiang@
@to search@|@alcët, bagitang, bagïtang, balägit, balagïtang@
@to send@|@a-thajang, athalche, athölajang, thajang, thalche, thechujang, tholagi, thölajang@
@to sew@|@falangälše, falangoläši, falangölašiang, falangöšiang@
@to shake@|@althar, balatharang, batharang@
@to shoot@|@hit-cha-kng@
@to shout@|@acha'alagi, acha'alajang, acha'alchex, huje-äkng@
@to sing@|@ulailökng, ulajakng, ulajalchek@
@to sit@|@anïgpan, anygpanang, daujang@
@to sit down@|@ïgpanang@
@to sleep@|@aláten, jáhatan, uchälchek, ucholökng@
@to slide@|@funchol, phunchol@
@to smear@|@thachakïtang@
@to sow@|@achö'ukng, pichiga@
@to speak@|@alácaga, alacagarang, alcagar, dacagarang, dilakng, dillökng@
@to spend the night@|@hachágal, halachágal@
@to spin@|@hi-tafujäkng@
@to spit@|@hujungakng@
@to stand@|@aletekng, altek, datekng, dätekng@
@to stand up@|@falta, faltajang, fatagákng@
@to stay@|@thaligai, thaligajang, thïgajang@
@to steal@|@ütakng, ütholökng@
@to stick into@|@astatajang, asthan, asthorïtei, asthütajang@
@to suck@|@alchut, ba'ütang, balä'ut, bala'ütang@
@to swallow@|@dekngai battang, dekngai ëštajang@
@to sweat@|@apïkng uganang@
@to think@|@anangaithakng, anangaj, anangajalcek, anangajang, anangajolökng@
@to think (1)@|@-thalc'ek, -thola'uki, -tholökng@
@to throw@|@achalchuk, achö'la'ukng, achöla'uki@
@to trade@|@hapälchek, hapölökng@
@to twirl@|@öfülang@
@to urinate@|@chachuákng, chaš@
@to vlow@|@sifu@
@to wait@|@aläföt, alföt, bafötang, balafötang@
@to walk@|@pulan-ajáha, pulán-ujáha@
@to warm@|@hukai bättang@
@to wash@|@urökiang@
@to wash oneself@|@uralki, uralkie, urkäkng, uroläki, urölakiang@
@to weep@|@alachenang, alchen, dachënang@
@to wet@|@uta-tër@
@to whet@|@anšal, onäšal, önašalang, öšalang@
@to wind@|@fanfui, föchagarang, fofüjang, fönafüjang@
@to wound@|@ápajang, šei, šeja@
@to write@|@eangalche, eangöjang, eangölagi, eangölajang, enguigen@
@to yawn@|@honangäkng@
@tongue@|@-ang, alup, alüp@
@tooth@|@itang, ite, iti, itï@
@top of tree@|@achi-xap, hupár, hupárang@
@towards here@|@utiga@
@towards outside@|@hiliga@
@towards there@|@hatung@
@towards where@|@bilthung@
@track@|@hajang@
@trade@|@hapi@
@trap@|@qatn, xatn, xatnang@
@tree@|@ach, aci, atche, atchi, ïpal, ïpatn@
@tree bark@|@farpakan@
@tree fungus@|@pol-šoja@
@tree root@|@achigan@
@tree trunk@|@chan, chi@
