@English@|@Hindi@
@crab@|@kenkdaa@
@crack(n)@|@daraar@
@crazy@|@paagal@
@crazyness@|@paagalpan@
@creation@|@nirmaan, nirmitee@
@credit@|@udhaar@
@crestfallen@|@naaraaz, niraash@
@cretenism@|@baunaapan@
@crime@|@apraadh, joorm@
@crispy@|@kur kuraa@
@critic@|@nindak@
@criticism@|@nindaa@
@crocodile@|@magar machh@
@crow@|@kak@
@crown@|@taaj@
@crude@|@kachcha, kachha@
@cruel@|@nirrday@
@cube root(math)@|@ghan mool@
@cube(math)@|@ghan@
@culprit@|@aparaadhi@
@cupboard@|@almaaree@
@curd@|@Dahee@
@currency@|@challan, mudra@
@curse@|@shaap@
@curtain@|@parrdaa@
